<<<<<<< HEAD
Rating,Review
5 stars,"I highly recommend this orthopedic and gynecology hospital to anyone in need of exceptional care. The staff, specialists, and facilities are all top-notch, and I am grateful to have had such a positive experience "
5 stars,Good hospital in bhugaon for gynec and Ortho problems. 
5 stars,Best Gynaecology & Orthopedics Doctors 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
=======
Rating,Review
5 stars,"I highly recommend this orthopedic and gynecology hospital to anyone in need of exceptional care. The staff, specialists, and facilities are all top-notch, and I am grateful to have had such a positive experience "
5 stars,Good hospital in bhugaon for gynec and Ortho problems. 
5 stars,Best Gynaecology & Orthopedics Doctors 
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
5 stars,None
>>>>>>> dadef325638232dc406ca53b7d8b40f838d2a09f
